,text,topic_label,sentiment,stockmarket
95155,"میگوید #مالیات بر دارایی ها در تمام جهان هست!
قربانت شوم #تورم تک رقمی هم هست
،#تامین_اجتماعی خوب هم هست،
افزایش #درامدسرانه هم هست،
روابط تجاری نرمال هم هست،
رشد اقتصادی هم هست
حداقلی از نظم مالی هست!

از همه مهمتر : اقتصاد اولویت است!!! بعید میدونم شعور تیم اقتصادی دولت مخصوصا جناب خاندوزی به این موارد برسه https://t.co/04TUUJbzXq ",economics,-1,0
97501, # خاندوزی وعده بورسیت کو؟ چرا جلوی عرضه سیل آسا اوراق دولتی رو نمیگیری بورس نابود شده چرا در دولت قبل رگ گردن کلفت میکردی در حمایت از سهامدار حالا خفه خون گرفتی ,economics,-1,1
83298," @raisi_com وضعیت امروز بازار بورس یه دهن کجی آشکار از طرف ناظران فاسد بورسی به صحبت های دیروز رئیس قوه قضائیه هست که از فساد ناظران صحبت کرده بودند.
آقای اژه ای اعتماد را به بازار سرمایه ایران بازگردان. آقایان رئیسی، رضایی، خاندوزی، قاضی زاده هاشمی آشکارا دروغ گفتند و خلف وعده کردند ",economics,0,1
57230," @hassankh1818 @ahmadreza1102 @Reyhan_Mm93 حسن زشته این حرف
آقای رئیسی با قرار تورم رو با محسن رضایی و مخبر و... تورم رو تک رقمی کنه.😊 ",economics,1,0
47564," 🔵 محسن رضایی ۲۹ آذر:
از اول دی",economics,0,0
85936," @andarzyan گفتم خاندوزی بهش نمیخوره وزیرباشه 
الان که دقت میکنم شبیه معلم جانشین  که کسی  هم تحویلش نمیگیره ",economics,0,0
100261," @meliinorg اقتصاد مال خر شد دیگه
معاون اقتصادی دولت شد محسن رضایی😂 ",economics,0,0
96344," @amin_shaigan آقای شایگان بر فرض مثال، اگر باقری و عبداللهی و دار و دسته سپاه، توافق کنند که نمی کنند.
هم همتی و هم خاندوزی، گفتند دلار های بلوکه",economics,0,0
84586, @drtoghyani بده بستان خاندوزی و طغیانی .به هر حال وقتی طغیانی نیروهاشو میفرسته وزارت اقتصاد همینه تازه اگه هم بار بعدی رای نیاره میخواد بره معاونش بشه .بابا این طغیانی از رانت پدرزنش استفاده میکنه ,economics,0,0
81928,"۲۳  آذر
تجمع اعتراضی  در مقابل سازمان بورس
من یک جمله فقط میخواهم بگویم  وقتی روحانی گفت بیایید در بورس شرکت کنید و رهبر حمایت کرد حالا چی شده  روحانی رفت ولی رهبر چی شده مگه رهبر نیست  چرا نمیاد حالا حرفی بزنه  خود رهبر گفت بیاید در بورس شرکت کنید
#بورس
#استیضاح_وزیر_ناکارآمد https://t.co/vrJKywnZOy #مجلس_انقلابی
#خاندوزی
#رييسي 
#خامنه",economics,-1,1
